card_id,edition,card_text
172,2,Honor thy error as a hidden intention
173,2,How would you have done it?
174,2,Humanise something free of error
175,2,Idiot glee (?)
176,2,Imagine the piece as a set of disconnected events
177,2,Infinitesimal gradations
178,2,Intentions -credibility of -nobility of -humility of
179,2,"In total darkness, or in a very large room, very quietly"
180,2,Into the impossible
181,2,Is it finished?
182,2,Is the tuning intonation correct?
183,2,Is there something missing?
184,2,It is quite possible (after all)
185,2,Just carry on
186,2,"Left channel, right channel, centre channel"
187,2,Listen to the quiet voice
188,2,Look at the order in which you do things
189,2,Look closely at the most embarrassing details and amplify them
190,2,Lost in useless territory
191,2,Lowest common denominator
192,2,Make a blank valuable by putting it in an exquisite frame
193,2,Make an exhaustive list of everything you might do and do the last thing on the list
194,2,"Make a sudden, destructive unpredictable action; incorporate"
195,2,Mechanicalise something idiosyncratic
196,2,Mute and continue
197,2,Not building a wall but making a brick
198,2,Only one element of each kind
199,2,(Organic) machinery
200,2,Overtly resist change
201,2,Put in earplugs
202,2,Question the heroic approach
203,2,Remember. those quiet evenings
204,2,Remove ambiguities and convert to specifics
205,2,Remove specifics and convert to ambiguities
206,2,Repetition is a form of change
207,2,Revaluation (a warm feeling)
208,2,Reverse
209,2,Short circuit (example; a man eating peas with the idea that they will improve his virility shovels them straight into his lap)
210,2,Simple subtraction
211,2,Simply a matter of work
212,2,Spectrum analysis
213,2,State the problem in words as simply as possible
214,2,Take a break
215,2,Take away the elements in order of apparent non-importance
216,2,Tape your mouth (given by Ritva Saarikko)
217,2,The inconsistency principle
218,2,The most important thing is the thing most easily forgotten
219,2,The tape is now the music
220,2,Think of the radio
221,2,Tidy up
222,2,Towards the insignificant
223,2,Trust in the you of now
224,2,Turn it upside down
225,2,Twist the spine
226,2,Use an old idea
227,2,Use an unacceptable colour
228,2,Use fewer notes
229,2,Use filters
230,2,Use 'unqualified' people
231,2,Water
232,2,What are the sections sections of? Imagine a caterpillar moving
233,2,What are you really thinking about just now?
234,2,What is the reality of the situation?
235,2,What mistakes did you make last time?
236,2,What would your closest friend do?
237,2,What wouldn't you do?
238,2,What would your closest friend do?
239,2,Work at a different speed
240,2,You are an engineer
241,2,You can only make one dot at a time
242,2,You don't have to be ashamed of using your own ideas
243,2,[blank white card]
244,3,Abandon normal instruments
245,3,Accept advice
246,3,Accretion
247,3,A line has two sides
248,3,Allow an easement (an easement is the abandonment of a stricture)
249,3,Always first steps
250,3,Are there sections? Consider transitions
251,3,Ask people to work against their better judgement
252,3,Ask your body
253,3,Assemble some of the elements in a group and treat the group
254,3,Balance the consistency principle with the inconsistency principle
255,3,Be dirty
256,3,Be extravagant
257,3,Be less critical more often
258,3,Breathe more deeply
259,3,Bridges -build -burn
260,3,Cascades
261,3,Change instrument roles
262,3,Change nothing and continue with immaculate consistency
263,3,Children -speaking -singing
264,3,Cluster analysis
265,3,Consider different fading systems
266,3,Consult other sources -promising -unpromising
267,3,Courage!
268,3,Cut a vital connection
269,3,"Decorate, decorate"
270,3,Define an area as 'safe' and use it as an anchor
271,3,Destroy - nothing - the most important thing
272,3,Discard an axiom
273,3,Disciplined self-indulgence
274,3,Disconnect from desire
275,3,Discover the recipes you are using and abandon them
276,3,Distorting time
277,3,Do nothing for as long as possible
278,3,Don't be afraid of things because they're easy to do
279,3,Don't be frightened of cliches
280,3,Don't be frightened to display your talents
281,3,Don't break the silence
282,3,Don't stress one thing more than another
283,3,Do something boring
284,3,Do the words need changing?
285,3,Do we need holes?
286,3,Emphasise differences
287,3,Emphasise repetitions
288,3,Emphasise the flaws
289,3,Fill every beat with something
290,3,From nothing to more than nothing
291,3,Ghost echoes
292,3,Give the game away
293,3,Give way to your worst impulse
294,3,Go outside. Shut the door.
295,3,Go slowly all the way round the outside
296,3,"Go to an extreme, move back to a more comfortable place"
297,3,Honor thy error as a hidden intention
298,3,How would you have done it?
299,3,Humanise something free of error
300,3,Idiot glee (?)
301,3,Imagine the piece as a set of disconnected events
302,3,Infinitesimal gradations
303,3,Intentions -nobility of -humility of -credibility of
304,3,"In total darkness, or in a very large room, very quietly"
305,3,Into the impossible
306,3,Is it finished?
307,3,Is the intonation correct?
308,3,Is there something missing?
309,3,It is quite possible (after all)
310,3,Just carry on
311,3,Listen to the quiet voice
312,3,Look at the order in which you do things
313,3,Look closely at the most embarrassing details and amplify them
314,3,Lost in useless territory
315,3,Lowest common denominator
316,3,Make a blank valuable by putting it in an exquisite frame
317,3,Make an exhaustive list of everything you might do and do the last thing on the list
318,3,"Make a sudden, destructive unpredictable action; incorporate"
319,3,Mechanicalise something idiosyncratic
320,3,Mute and continue
321,3,Not building a wall but making a brick
322,3,"Once the search is in progress, something will be found"
323,3,"Only a part, not the whole"
324,3,Only one element of each kind
325,3,(Organic) machinery
326,3,Overtly resist change
327,3,Question the heroic approach
328,3,Remember. those quiet evenings
329,3,Remove ambiguities and convert to specifics
330,3,Remove specifics and convert to ambiguities
331,3,Repetition is a form of change
332,3,Retrace your steps
333,3,Revaluation (a warm feeling)
334,3,Reverse
335,3,Short circuit (example; a man eating peas with the idea that they will improve his virility shovels them straight into his lap)
336,3,Simple subtraction
337,3,Simply a matter of work
338,3,State the problem in words as clearly as possible
339,3,Take a break
340,3,Take away the elements in order of apparent non-importance
341,3,The inconsistency principle
342,3,The most important thing is the thing most easily forgotten
343,3,The tape is now the music
344,3,Think of the radio
345,3,Tidy up
346,3,Towards the insignificant
347,3,Trust in the you of now
348,3,Turn it upside down
349,3,Use an old idea
350,3,Use an unacceptable colour
351,3,Use fewer notes
352,3,Use filters
353,3,Use 'unqualified' people
354,3,Water
355,3,What are the sections sections of? Imagine a caterpillar moving
356,3,What are you really thinking about just now?
357,3,What is the reality of the situation?
358,3,What mistakes did you make last time?
359,3,What wouldn't you do?
360,3,What would your closest friend do?
361,3,Work at a different speed
362,3,Would anybody want it?
363,3,You are an engineer
364,3,You can only make one dot at a time
365,3,You don't have to be ashamed of using your own ideas
366,3,[blank white card]
367,4,Abandon desire
368,4,Abandon normal instructions
369,4,Accept advice
370,4,Adding on
371,4,A line has two sides
372,4,Always the first steps
373,4,Ask people to work against their better judgement
374,4,Ask your body
375,4,Be dirty
376,4,Be extravagant
377,4,Be less critical
378,4,Breathe more deeply
379,4,Bridges -build -burn
380,4,Change ambiguities to specifics
381,4,Change nothing and continue consistently
382,4,Change specifics to ambiguities
383,4,Consider transitions
384,4,Courage!
385,4,Cut a vital connection
386,4,"Decorate, decorate"
387,4,Destroy nothing; Destroy the most important thing
388,4,Discard an axiom
389,4,Disciplined self-indulgence
390,4,Discover your formulas and abandon them
391,4,Display your talent
392,4,Distort time
393,4,Do nothing for as long as possible
394,4,Don't avoid what is easy
395,4,Don't break the silence
396,4,Don't stress one thing more than another
397,4,Do something boring
398,4,"Do something sudden, destructive and unpredictable"
399,4,Do the last thing first
400,4,Do the words need changing?
401,4,Emphasize differences
402,4,Emphasize the flaws
403,4,"Faced with a choice, do both (from Dieter Rot)"
404,4,Find a safe part and use it as an anchor
405,4,Give the game away
406,4,Give way to your worst impulse
407,4,Go outside. Shut the door.
408,4,"Go to an extreme, come part way back"
409,4,How would someone else do it?
410,4,How would you have done it?
411,4,"In total darkness, or in a very large room, very quietly"
412,4,Is it finished?
413,4,Is something missing?
414,4,Is the style right?
415,4,It is simply a matter or work
416,4,Just carry on
417,4,Listen to the quiet voice
418,4,Look at the order in which you do things
419,4,Magnify the most difficult details
420,4,Make it more sensual
421,4,Make what's perfect more human
422,4,Move towards the unimportant
423,4,Not building a wall; making a brick
424,4,"Once the search has begun, something will be found"
425,4,"Only a part, not the whole"
426,4,Only one element of each kind
427,4,Openly resist change
428,4,Pae White's non-blank graphic metacard
429,4,Question the heroic
430,4,Remember quiet evenings
431,4,Remove a restriction
432,4,Repetition is a form of change
433,4,Retrace your steps
434,4,Reverse
435,4,Simple Subtraction
436,4,"Slow preparation, fast execution"
437,4,State the problem as clearly as possible
438,4,Take a break
439,4,Take away the important parts
440,4,The inconsistency principle
441,4,The most easily forgotten thing is the most important
442,4,Think - inside the work -outside the work
443,4,Tidy up
444,4,Try faking it (from Stewart Brand)
445,4,Turn it upside down
446,4,Use an old idea
447,4,Use cliches
448,4,Use filters
449,4,Use something nearby as a model
450,4,Use 'unqualified' people
451,4,Use your own ideas
452,4,Voice your suspicions
453,4,Water
454,4,What context would look right?
455,4,What is the simplest solution?
456,4,What mistakes did you make last time?
457,4,What to increase? What to reduce? What to maintain?
458,4,What were you really thinking about just now?
459,4,What wouldn't you do?
460,4,What would your closest friend do?
461,4,When is it for?
462,4,Where is the edge?
463,4,Which parts can be grouped?
464,4,Work at a different speed
465,4,Would anyone want it?
466,4,Your mistake was a hidden intention
467,5,Abandon normal instruments
468,5,Accept advice
469,5,Accretion
470,5,Allow an easement (an easement is the abandonment of a stricture)
471,5,Always first steps
472,5,Are there sections? Consider transitions
473,5,Ask people to work against their better judgement
474,5,Ask your body
475,5,Be dirty
476,5,Be extravagant
477,5,Be less critical more often
478,5,Breathe more deeply
479,5,Change nothing and continue with immaculate consistency
480,5,Courage!
481,5,Cut a vital connection
482,5,"Decorate, decorate"
483,5,Define an area as 'safe' and use it as an anchor
484,5,Destroy - nothing - the most important thing
485,5,Discard an axiom
486,5,Disciplined self-indulgence
487,5,Disconnect from desire
488,5,Discover the recipes you are using and abandon them
489,5,Distorting time
490,5,Do nothing for as long as possible
491,5,Do something boring
492,5,Do the words need changing?
493,5,Do we need holes?
494,5,Don't be afraid of things because they're easy to do
495,5,Don't be frightened of cliches
496,5,Don't be frightened to display your talents
497,5,Don't break the silence
498,5,Don't stress one thing more than another
499,5,Emphasise differences
500,5,Emphasise the flaws
501,5,Faced with a choice do both (given by Diter Rot)
502,5,"Gardening, not architecture"
503,5,Give the game away
504,5,Give way to your worst impulse
505,5,Go outside. Shut the door
506,5,"Go to an extreme, move back to a more comfortable place"
507,5,Honour thy error as a hidden intention
508,5,How would you have done it?
509,5,Humanise something free of error
510,5,"In total darkness or in a very large room, very quietly"
511,5,Is it finished?
512,5,Is there something missing?
513,5,Just carry on
514,5,Listen to the quiet voice
515,5,Look at the order in which you do things
516,5,Look closely at the most embarrassing details and amplify them
517,5,Make a blank valuable by putting it in an exquisite frame
518,5,"Make a sudden, destructive unpredictable action; incorporate"
519,5,Make an exhaustive list of everything you might do and do the last thing on the list
520,5,Make it more sensual
521,5,"Make something implied more definite (reinforce, duplicate)"
522,5,Not building a wall but making a brick
523,5,"Once the search is in progress, something will be found"
524,5,"Only a part, not the whole"
525,5,Only one element of each kind
526,5,Overtly resist change
527,5,Question the heroic approach
528,5,Remember. those quiet evenings
529,5,Remove ambiguities and convert to specifics
530,5,Remove specifics and convert to ambiguities
531,5,Repetition is a form of change
532,5,Retrace your steps
533,5,Reverse
534,5,Short circuit (example; a man eating peas with the idea that they will improve his virility shovels them straight into his lap)
535,5,Simple subtraction
536,5,Simply a matter of work
537,5,Slow preparation. Fast execution
538,5,State the problem in words as clearly as possible
539,5,Take a break
540,5,Take away the elements in order of apparent non importance
541,5,The inconsistency principle
542,5,The most important thing is the thing most easily forgotten
543,5,Think -inside the work -outside the work
544,5,Tidy up
545,5,Towards the insignificant
546,5,Trust in the you of now
547,5,Try faking it! (given by Stewart Brand)
548,5,Turn it upside down
549,5,Use 'unqualified' people
550,5,Use an old idea
551,5,Use an unacceptable colour
552,5,Use filters
553,5,Voice nagging suspicions
554,5,Water
555,5,What are you really thinking about just now? Incorporate
556,5,What mistakes did you make last time?
557,5,What to increase? What to reduce?
558,5,What to maintain?
559,5,What would your closest friend do?
560,5,What wouldn't you do?
561,5,When is it for?
562,5,Where's the edge? Where does the frame start?
563,5,Which elements can be grouped?
564,5,Which frame would make this look right?
565,5,Who should be doing this job? How would they do it?
566,5,Work at a different speed
567,5,Would anybody want it?
568,5,You are an engineer
569,5,You don't have to be ashamed of using your own ideas
